source_column,target_column,transformation_logic
raw.customers.customer_id,curated.dim_customer.customer_id,direct
raw.customers.customer_unique_id,curated.dim_customer.customer_unique_id,direct
raw.customers.customer_zip_code_prefix,curated.dim_customer.customer_zip_code_prefix,direct
raw.customers.customer_city,curated.dim_customer.customer_city,direct
raw.customers.customer_state,curated.dim_customer.customer_state,direct
raw.products.product_id,curated.dim_product.product_id,direct
raw.products.product_category_name,curated.dim_product.product_category_name,direct
raw.orders.order_id,curated.fact_order.order_id,direct
raw.orders.customer_id,curated.fact_order.customer_id,direct
raw.orders.order_purchase_timestamp,curated.fact_order.order_purchase_timestamp,direct
raw.order_items.order_item_id,curated.fact_order.order_item_id,direct
raw.order_items.product_id,curated.fact_order.product_id,direct
raw.order_items.price,curated.fact_order.item_price,rename
raw.order_items.freight_value,curated.fact_order.freight_value,direct
raw.payments.payment_type,curated.fact_order.payment_type,direct
raw.payments.payment_installments,curated.fact_order.payment_installments,direct
raw.payments.payment_value,curated.fact_order.payment_value,direct
curated.fact_order.order_purchase_timestamp,mart.sales_summary_daily.order_purchase_date,cast(date)
curated.fact_order.item_price,mart.sales_summary_daily.total_item_revenue,sum
curated.fact_order.freight_value,mart.sales_summary_daily.total_freight_revenue,sum
curated.fact_order.order_id,mart.sales_summary_daily.order_count,count_distinct
