ProductVariety,MarketingSpend,CustomerFootfall,StoreSize,EmployeeEfficiency,StoreAge,CompetitorDistance,PromotionsCount,EconomicIndicator,StoreLocation,StoreCategory,MonthlySalesRevenue
581,29,1723,186,84.9,1,12,6,108.3,Los Angeles,Electronics,284.9
382,31,1218,427,75.8,18,11,6,97.8,Los Angeles,Electronics,308.21
449,35,2654,142,92.8,14,11,6,101.1,Los Angeles,Grocery,292.11
666,9,2591,159,66.3,11,11,4,115.1,Sacramento,Clothing,279.61
657,35,2151,275,89.1,28,12,7,93.4,Palo Alto,Electronics,359.71
182,43,1789,312,88.8,13,8,8,70.4,Palo Alto,Electronics,258.21
341,29,1868,400,65.2,8,12,6,99.3,San Francisco,Electronics,240.3
500,32,786,112,54.6,3,12,6,96.4,Palo Alto,Clothing,250.28
656,30,1352,108,51.4,16,15,6,82.5,Palo Alto,Electronics,249.41
419,48,1949,90,93.1,16,5,8,110.3,Palo Alto,Electronics,203.93
851,10,1501,223,53.6,18,9,4,99.5,Los Angeles,Clothing,393.32
458,26,1673,324,63.5,28,7,5,114.6,Palo Alto,Grocery,266.49
432,18,1901,286,50.1,13,7,5,76.6,San Francisco,Grocery,283.63
555,40,2528,333,68.6,6,8,7,101.4,Sacramento,Electronics,303.41
587,37,1797,268,53.7,28,10,7,109.3,San Francisco,Clothing,274.64
637,46,1345,112,86.8,9,10,7,94.2,Los Angeles,Grocery,263.24
510,17,1556,284,67.5,12,6,5,119,San Francisco,Clothing,297.06
586,41,2249,397,62.8,28,8,7,88.5,Los Angeles,Clothing,313.59
834,44,1403,340,68.2,24,11,7,77.5,Los Angeles,Grocery,405.82
353,16,1624,416,88.2,9,10,5,102.9,San Francisco,Clothing,281.78
253,18,2458,224,83.4,21,8,4,101.5,Palo Alto,Grocery,229.94
507,9,2927,282,75.8,23,14,3,112.8,Los Angeles,Grocery,320.17
517,16,2599,62,69.6,12,17,4,109.5,Palo Alto,Clothing,211.23
458,32,2382,490,56.2,10,3,6,74.4,Palo Alto,Grocery,365.12
250,12,1736,57,90.7,9,9,3,93.4,Palo Alto,Grocery,203.92
458,6,2021,182,59.9,4,6,3,97.7,Palo Alto,Grocery,211.58
458,42,2189,336,58.1,22,10,7,109.7,Sacramento,Grocery,288.35
587,27,1966,422,51.9,16,16,5,72.9,Los Angeles,Clothing,377.97
521,39,1994,76,55.9,25,10,7,109.5,Palo Alto,Electronics,289.66
360,44,1819,145,67.1,4,13,8,111.9,San Francisco,Grocery,197.75
345,17,2266,223,69.7,21,12,5,98.4,Palo Alto,Electronics,270.36
344,47,1755,210,75.1,27,9,7,101.9,Sacramento,Electronics,241.87
331,7,2893,110,82.1,27,7,4,87.3,Palo Alto,Electronics,203.15
383,7,1770,368,94.9,8,13,4,60,Los Angeles,Electronics,349.08
356,8,2590,368,56.8,23,6,4,73.9,Los Angeles,Clothing,233.12
395,45,2513,136,94.2,3,10,7,70.9,Sacramento,Grocery,272.26
475,30,2569,416,82.2,1,10,6,102.3,Palo Alto,Grocery,382.47
627,41,2579,167,92,27,12,7,92.2,Palo Alto,Grocery,322.62
590,24,2192,90,58.2,11,10,5,108.3,San Francisco,Electronics,230.59
673,23,2968,89,82.5,25,11,4,103.4,Palo Alto,Electronics,302.74
648,32,2720,128,64.7,11,8,6,97.9,Palo Alto,Grocery,272.91
420,25,2296,481,67.2,5,9,5,92.6,Palo Alto,Electronics,295.04
372,36,2277,327,82.8,18,9,6,80,Sacramento,Electronics,237.53
471,42,1863,106,94.1,6,9,7,116.3,Los Angeles,Clothing,225.47
