StoreID,ProductVariety,MarketingSpend,CustomerFootfall,StoreSize,EmployeeEfficiency,StoreAge,CompetitorDistance,PromotionsCount,EconomicIndicator,StoreLocation,StoreCategory,MonthlySalesRevenue,ReportMonth,RecurringRevenuePct,MRR,RunRateAnnualRevenue,PayrollCost,RentCost,TechOpsCost,SupportOpsCost,COGS,TotalMonthlyCost,BurnRate,CashReserve,RunwayMonths,ConversionRate,NewCustomers,ActiveCustomers,GrossMarginPct,ARPU,ChurnRate,CAC,CLV,CLV_CAC_Ratio,NPS,CSAT,SupportTickets,ResolutionTimeHours,DAU,MAU,DAU_MAU_Ratio,ErrorRatePct,SystemUptimePct,CycleTimeDays,TimeToMarketDays,RevenuePerSqFt,FootfallPerPromotion,RevenuePerEmployeeEfficiencyPoint
STORE-0001,581,29,1723,186,84.9,1,12,6,108.3,Los Angeles,Electronics,284.9,2024-06-30,0.22,62.68,3418.8,30.28,27.9,6.34,4.53,188.03,286.08,1.18,1013.14,858.59,0.0241,44,531,0.34,141.65,0.029,659.09,1660.72,2.52,45.1,87.7,23,13.65,138,632,0.2184,0.825,99.776,14.6,14.6,1.532,287.17,3.356
STORE-0002,382,31,1218,427,75.8,18,11,6,97.8,Los Angeles,Electronics,308.21,2024-07-31,0.22,67.81,3698.52,62.7,64.05,9.0,4.21,203.42,374.38,66.17,1163.68,17.59,0.0203,22,698,0.34,116.58,0.029,1409.09,1366.79,0.97,43.1,79.8,12,19.28,158,626,0.2524,1.758,99.557,18.3,18.3,0.722,203.0,4.066
STORE-0003,449,35,2654,142,92.8,14,11,6,101.1,Los Angeles,Grocery,292.11,2024-08-31,0.54,157.74,3505.32,20.3,21.3,7.41,5.13,213.24,302.38,10.27,1018.81,99.2,0.0256,60,693,0.27,186.65,0.012,583.33,4199.57,7.2,56.0,87.4,12,8.83,209,767,0.2725,1.067,99.719,12.1,12.1,2.057,442.33,3.148
STORE-0004,666,9,2591,159,66.3,11,11,4,115.1,Sacramento,Clothing,279.61,2024-09-30,0.35,97.86,3355.32,39.39,19.08,9.23,4.65,164.97,246.32,0.0,896.36,999.0,0.0247,68,969,0.41,96.95,0.021,132.35,1892.85,14.3,27.3,77.0,27,14.25,321,1477,0.2173,1.287,99.668,20.5,20.5,1.759,647.75,4.217
STORE-0005,657,35,2151,275,89.1,28,12,7,93.4,Palo Alto,Electronics,359.71,2024-10-31,0.31,111.51,4316.52,37.34,46.75,8.72,5.03,237.41,370.25,10.54,1762.5,167.22,0.0256,55,695,0.34,192.54,0.015,636.36,4364.13,6.86,56.4,89.6,24,11.26,197,769,0.2562,1.426,99.555,12.2,12.2,1.308,307.29,4.037
STORE-0006,182,43,1789,312,88.8,13,8,8,70.4,Palo Alto,Electronics,258.21,2024-11-30,0.31,80.05,3098.52,41.6,53.04,7.77,5.01,170.42,320.84,62.63,1044.87,16.68,0.0181,26,636,0.34,151.04,0.027,1653.85,1901.96,1.15,54.4,89.6,14,11.5,179,956,0.1872,1.542,99.608,5.0,5.0,0.828,223.62,2.908
STORE-0007,341,29,1868,400,65.2,8,12,6,99.3,San Francisco,Electronics,240.3,2024-12-31,0.22,52.87,2883.6,66.62,64.0,9.01,4.63,158.6,331.86,91.56,915.22,10.0,0.0189,29,891,0.34,71.21,0.029,1000.0,834.82,0.83,30.9,79.6,28,18.47,327,1197,0.2732,1.195,99.689,12.0,12.0,0.601,311.33,3.686
STORE-0008,500,32,786,112,54.6,3,12,6,96.4,Palo Alto,Clothing,250.28,2025-01-31,0.3,75.08,3003.36,41.83,19.04,9.34,3.93,147.67,253.81,3.53,1145.65,324.55,0.0214,13,272,0.41,264.99,0.043,2461.54,2526.63,1.03,22.1,74.4,10,17.29,68,334,0.2036,1.465,99.626,15.9,15.9,2.235,131.0,4.584
STORE-0009,656,30,1352,108,51.4,16,15,6,82.5,Palo Alto,Electronics,249.41,2025-02-28,0.17,42.4,2992.92,43.47,18.36,10.59,4.29,164.61,271.32,21.91,918.41,41.92,0.0226,29,417,0.34,122.01,0.047,1034.48,882.66,0.85,17.2,76.6,8,15.43,137,632,0.2168,1.877,99.529,21.1,21.1,2.309,225.33,4.852
STORE-0010,419,48,1949,90,93.1,16,5,8,110.3,Palo Alto,Electronics,203.93,2025-03-31,0.31,63.22,2447.16,14.39,15.3,7.2,5.12,134.59,224.6,20.67,639.44,30.94,0.022,35,630,0.34,120.42,0.033,1371.43,1240.68,0.9,52.2,97.9,28,12.64,248,826,0.3002,1.121,99.707,5.4,5.4,2.266,243.62,2.19
