ReportMonth,Revenue,Cost,MRR,BurnRate,CAC,CLV,ChurnRate,NPS,CSAT,ResolutionTimeHours,DAU,MAU,ConversionRate,ErrorRatePct,CycleTimeDays,SystemUptimePct,Alerts,DAU_MAU_Ratio
2024-06-30,20307.14,22473.25,7549.59,34.19,645.61,2173.19,0.03,32.05,80.31,15.88,15702,66229,0.02,1.48,14.31,99.58,69,0.24
2024-07-31,20814.34,22446.49,7261.65,29.12,666.17,2094.25,0.03,32.38,80.12,15.78,14541,63156,0.02,1.45,14.58,99.6,69,0.23
2024-08-31,20847.87,22786.7,8342.73,32.3,668.56,2576.37,0.02,36.66,81.75,15.08,15452,66082,0.02,1.37,14.37,99.62,69,0.23
2024-09-30,20851.14,22299.28,8074.93,27.98,609.65,2341.62,0.03,32.03,79.74,15.38,15588,65997,0.02,1.48,15.17,99.59,69,0.24
2024-10-31,20577.82,22455.94,7103.05,32.8,764.87,2054.12,0.03,32.41,80.63,15.85,14727,64343,0.02,1.48,14.91,99.59,69,0.23
2024-11-30,19656.34,21705.49,6939.62,34.87,691.83,2025.92,0.03,31.54,79.89,15.61,15770,67820,0.02,1.46,13.92,99.6,69,0.23
2024-12-31,20363.7,22492.45,7115.48,35.13,734.95,1897.01,0.03,32.07,80.72,16.14,16212,67466,0.02,1.45,14.81,99.59,69,0.24
2025-01-31,20384.58,22498.85,7458.18,34.22,720.43,2174.17,0.03,33.49,80.94,15.77,15380,68491,0.02,1.45,13.96,99.6,69,0.22
2025-02-28,21031.36,22921.05,7454.37,31.5,668.4,2004.05,0.03,30.02,79.19,15.85,14546,64688,0.02,1.52,15.89,99.58,69,0.22
2025-03-31,20807.29,22605.09,7537.74,32.3,718.01,2053.91,0.03,32.53,80.69,15.87,14860,63119,0.02,1.48,15.08,99.59,69,0.24
2025-04-30,21566.07,23850.98,7665.24,37.73,677.12,1796.96,0.03,29.43,79.51,16.48,15198,66602,0.02,1.6,15.49,99.54,69,0.23
2025-05-31,20637.92,22409.52,7024.8,31.31,772.79,2150.58,0.03,33.0,81.43,15.89,15325,65703,0.02,1.45,14.54,99.6,69,0.23
2025-06-30,20283.26,21880.54,7623.46,31.33,638.78,2234.77,0.03,33.14,80.8,15.23,15164,66323,0.02,1.47,14.15,99.59,69,0.23
2025-07-31,20657.47,22633.96,7783.64,34.71,620.39,2158.31,0.03,33.48,80.75,15.49,14888,64907,0.02,1.46,14.46,99.59,69,0.23
2025-08-31,20554.49,22870.29,7597.5,36.7,735.94,2116.37,0.03,32.06,80.17,16.26,15076,65676,0.02,1.5,14.42,99.58,69,0.23
2025-09-30,21102.9,22649.93,7929.8,29.37,712.18,2233.02,0.03,34.93,81.42,15.1,14916,64415,0.02,1.4,15.49,99.61,69,0.23
2025-10-31,20184.61,22914.8,7651.26,43.02,664.11,1912.98,0.03,30.67,80.37,16.27,14954,66813,0.02,1.46,14.45,99.6,69,0.22
2025-11-30,20338.21,22806.87,7326.88,38.7,703.14,2010.68,0.03,30.92,80.21,16.15,15787,67270,0.02,1.59,15.24,99.55,69,0.23
2025-12-31,20169.48,22346.8,7428.14,36.22,670.12,2175.75,0.03,31.96,79.94,15.87,15260,67105,0.02,1.47,15.34,99.59,68,0.23
2026-01-31,20900.9,23299.94,7338.7,36.6,775.1,2037.62,0.03,31.3,80.39,15.63,16224,67937,0.02,1.45,15.55,99.6,68,0.24
2026-02-28,20872.48,22799.64,7560.89,32.69,656.17,2177.42,0.03,33.41,80.69,15.95,15192,67798,0.02,1.47,14.89,99.59,68,0.22
2026-03-31,21005.42,22884.98,7814.53,32.31,653.25,2399.75,0.03,33.61,80.51,16.06,14466,63494,0.02,1.44,15.39,99.61,68,0.23
2026-04-30,19467.87,21628.47,7112.21,33.88,705.56,1834.82,0.03,30.81,79.63,16.16,15592,65981,0.02,1.51,14.35,99.59,68,0.24
2026-05-31,20385.26,22338.63,7225.18,33.7,682.49,2236.49,0.03,33.3,80.84,15.92,15270,63545,0.02,1.48,14.71,99.59,68,0.24
